fake,std_review_len,tfidf_review_body,n_of_reviews,avg_review_rating,avg_days_between_reviews,stdev_days_between_reviews,max_days_between_reviews,min_days_between_reviews,share_helpful_reviews,share_1star,share_5star,share_photo,pagerank,eigenvector_cent,w_degree,clustering_coef,product_ID
0,227.9717437964226,0.0399773377330811,264,4.636363636363637,3.410646387832697,4.892606273293762,50.0,0.0,0.7651515151515151,0.0454545454545454,0.8106060606060606,0.053030303030303,0.00010247123937,0.0012050378303755,33,0.1956989247311828,847
1,151.82608689957118,0.0328915581195629,265,3.954716981132076,1.859848484848484,2.326745139188067,18.0,0.0,0.1471698113207547,0.1584905660377358,0.6075471698113207,0.0792452830188679,0.0004684248691828,0.0239792467033414,355,0.4375868034404619,776
1,248.3165440280772,0.0400940584132135,156,4.756410256410256,3.116129032258056,4.043521094341585,27.0,0.0,0.358974358974359,0.032051282051282,0.8717948717948718,0.0897435897435897,0.0003122740156835,0.0150822050602159,191,0.4577228122059416,1739
1,267.50365058474745,0.0440328201146745,3403,4.345577431677931,0.164902998236331,0.4059573349907754,4.0,0.0,0.1334116955627387,0.0637672641786658,0.6929180135174846,0.0717014399059653,0.0037595272495855,0.072574633766815,2977,0.1982008748039944,1522
1,222.5288460171775,0.0360359306515306,4632,3.630181347150259,0.210105808680625,0.5420876070187384,16.0,0.0,0.0796632124352331,0.1852331606217616,0.4777633851468048,0.071027633851468,0.0015937146319741,0.044345558084309,1052,0.2141350210970464,816
1,201.5028117169753,0.0360422447424129,1737,3.945883707541739,0.3312211981566782,0.709973336780625,12.0,0.0,0.0863557858376511,0.1370178468624064,0.5935521013241221,0.1272308578008059,0.0021702237363639,0.0599997166507654,1759,0.2457176035394138,1521
1,229.21796311153943,0.0475067296455074,153,4.816993464052287,1.6052631578947338,2.4660822207893287,15.0,0.0,0.0457516339869281,0.0196078431372549,0.915032679738562,0.1437908496732026,0.0006562609951925,0.026936494990951,478,0.3225140442694579,3085
1,192.9380426387337,0.0432648725461318,1438,4.760083449235049,0.3785664578983912,0.8227526353392592,16.0,0.0,0.1258692628650904,0.0347705146036161,0.8915159944367177,0.082058414464534,0.0018539993663503,0.0558564399778564,1523,0.282560706401766,1399
1,171.56773607824445,0.0507197416857701,1082,4.837338262476894,0.4976873265494907,1.4011384981627084,23.0,0.0,0.1182994454713493,0.0268022181146025,0.9325323475046212,0.1876155268022181,0.0026183676749258,0.0666791815725713,2219,0.2709445380763421,2176
1,161.1707277343573,0.0388055247284775,1431,4.112508735150245,0.1482517482517477,0.3613312503475115,3.0,0.0,0.0957372466806429,0.1069182389937107,0.6561844863731656,0.1830887491264849,0.0020983671665069,0.0587086317091674,1722,0.27287944522256,3286
1,214.2745606405664,0.041235451163288,934,4.277301927194861,0.4790996784565856,0.9396159633107988,12.0,0.0,0.1059957173447537,0.1027837259100642,0.7194860813704497,0.1231263383297644,0.0011940390215848,0.043003131216068,945,0.3112404014990696,1915
1,178.3857924438468,0.0379566934936246,167,4.640718562874252,2.5481927710843286,3.0601192864760303,21.0,0.0,0.281437125748503,0.0359281437125748,0.8143712574850299,0.059880239520958,0.0002893263718124,0.0219075546296189,222,0.7426633165829146,2130
